content_type,schema_support,catalog_rows,stable_codes,flyway_seed,active_enabled_state,runtime_query_filter,reference_integrity,representative_p0_proof,final_bulk_delivery_status,verdict,evidence
Quest,"quests supports code, definitionVersion, semantic/progress/repeat/reward fields but no status","21 StaticQuestBlueprintCatalog blueprints: 16 legacy + 5 SeedLevel1","QuestCode enum has 21 values","V20 inserts 3 record Quests; startup bootstrap materializes missing catalog rows","SeedLevel1 definition status ACTIVE is not persisted; bootstrap defaults enabled","/api/v1/quests/catalog returns all static rows; DB definition findAll has no availability/status filter","V10 reward profile code contract; provisioner requires active RewardProfile before new materialization","Five SeedLevel1 definitions have domain tests; actual AUTO/manual P0 loops have MySQL evidence","No authoritative release manifest; catalog metadata including status/copy keys is reduced by adapter",BLOCKED_BY_EXTERNAL_AUTHORITY,"StaticQuestBlueprintCatalog; SeedLevel1Quest; SeedLevel1QuestBlueprintAdapter; QuestDefinitionBootstrapper; V20; QuestDefinitionBootstrapperIntegrationTest"
QuestRoute,"V20 quest_routes","0 production code catalog rows","DB code ROUTE_RECORD_START","V20 inserts 1 route","No status/availability field","QuestRouteReader returns all rows and validates structure","V20 step composite FKs and linked Quest FKs","QuestRouteApplicationIntegrationTest exercises seeded shape/semantics","No final route inventory or activation authority",BLOCKED_BY_EXTERNAL_AUTHORITY,"V20__quest_route_mvp.sql; QuestRouteReader; QuestRouteApplicationIntegrationTest"
RouteStep,"V20 quest_route_steps and quest links","0 production code catalog rows","step_code unique within route","V20 inserts 3 steps and 3 required links","No status/availability field","All steps of selected route are projected","Composite route/step and Quest FKs","Explicit expectedStepId advance and no-auto-advance are proven","No final step/link manifest",BLOCKED_BY_EXTERNAL_AUTHORITY,"V20; QuestRouteStep; QuestRouteApplicationIntegrationTest"
Item,"items has nullable stable code and bounded carry fields","1 SeedLevel1Item row","ItemContentCode.IT_FIRST_STEP_FRAGMENT","V12 inserts 1 quest item","No active/enabled field","Item list reads all matching DB rows","V13 ITEM RewardDefinition references seeded Item id; V18 snapshots code","EXP+ITEM Quest reward and Mailbox delivery are proven","One representative item only; no final item catalog",BLOCKED_BY_EXTERNAL_AUTHORITY,"SeedLevel1Item; V12; V13; InventoryRewardDeliveryIntegrationTest; QuestCompletionRewardTransactionalOutboxIntegrationTest"
Equipment,"Item category/type/compatibility plus equipment_slots/player_equipment schema","0 equipment definitions; 0 equipment slot catalog","equipment slot code column exists; no authoritative code enum/rows","No equipment_slots or equippable Item INSERT","No active/enabled field","EquipmentSlotReader/Item query read whatever DB contains","V23 player/item unique; V24 compatibility kind","Synthetic test rows prove compatibility and concurrency only","No runtime rows",DB_NOT_SEEDED,"V1 equipment_slots/player_equipment; V23; V24; PlayerEquipmentConcurrencyIntegrationTest"
Consumable,"Item category CONSUMABLE and POTION/SCROLL types only","0","No consumable stable code","No consumable INSERT","No active/enabled field","Generic Item query only","Generic carry policy; no consume behavior/reference model","None","Definition and runtime consume contract not delivered",CONTENT_NOT_DELIVERED,"ItemCategory; ItemType; Item; V1 items"
ItemSet,"No set membership/effect schema found","0","None","None","None","None","None","None","Schema and content absent",CONTENT_NOT_DELIVERED,"inventory domain file inventory and V1-V31 migration scan"
Reward,"reward_definitions/profiles/lines with active/status","4 definitions and 5 profiles represented in Flyway; 2 P0 profiles in SeedLevel1RewardProfile","RewardDefinitionContentCode and RewardProfileContentCode","V2 RD/RP EXP10/30; V5 RP_NONE; V13 RD_EXP20/RD_ITEM and RP_EXP_TINY/RP_EXP_AND_ITEM","definition active boolean and profile ACTIVE","RewardProfileLookupApi.getActiveByCode","FK profile lines -> definitions; ITEM definition -> V12 item; Quest profile code checked","RP_NONE, EXP10, EXP20+ITEM exact-once loops proven in MySQL","Representative P0 subset is runtime-ready; final reward inventory is not authorized",BLOCKED_BY_EXTERNAL_AUTHORITY,"V2/V5/V13; SeedLevel1RewardProfile; QuestCompletionRewardTransactionalOutboxIntegrationTest"
Achievement,"achievements and player_achievements schema","0","Achievement.code unique","No INSERT","No active/enabled field","Definition findAll returns all DB rows; owned query returns holders","V1 unique player/achievement; no FK shown in baseline","Owned query and Admin grant use synthetic rows","No definitions/unlock rules/final catalog",DB_NOT_SEEDED,"V1; AchievementService; AchievementProgressReadIntegrationTest; AdminPlayerHolderGrantIntegrationTest"
Certification,"certification and player_certifications schema","0","No stable code column in Certification entity/table","No INSERT","No active/enabled field","Definition findAll returns all DB rows","V1 unique player/certification","Unit/application behavior only with synthetic definitions","No definitions/final catalog",DB_NOT_SEEDED,"V1; Certification; CertificationController"
Hobby,"hobbies and player_hobbies schema","0","No stable code column","No INSERT","Holder has lifecycle status; definition has no activation","Definition findAll returns all DB rows","V1 unique player/hobby","Updater unit tests use synthetic rows","No definitions/final catalog",DB_NOT_SEEDED,"V1; Hobby; PlayerHobbyUpdaterTest"
Title,"titles and player_titles schema","0","Title.code unique","No INSERT","No active/enabled field","Definition findAll returns all DB rows","V1 unique player/title; representative title ownership verifier","Representative-title invariant and Admin holder grant use synthetic rows","No definitions/final catalog",DB_NOT_SEEDED,"V1; Title; PlayerRepresentativeTitleTest; AdminPlayerHolderGrantIntegrationTest"
Copy/localization,"No localization table/resource bundle/resolver serving content copy","SeedLevel1 Quest contains Korean text and four copy/icon/color keys per row but adapter/runtime response drops most metadata","String keys only; no authority/resolver","None","No locale/version/active state","No locale negotiation or copy lookup","No referential check for iconKey/colorToken/resultCopyKey/emptyStateCopyKey","Hard-coded Korean titles/descriptions appear in representative Quest/route/item seeds","Final copy and translations absent",CONTENT_NOT_DELIVERED,"SeedLevel1QuestDefinition; SeedLevel1QuestBlueprintAdapter; QuestWebMapper; resource scan"
