area,capability,verdict,runtime_evidence,correctness_authority,gap_or_risk
Auth/User,"register, login, refresh, persisted USER/ADMIN authority",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"AuthController; AuthFacade; UserAuthService; AdminAuthorizationContractTest","users.email unique; persisted account status/authority re-resolved by JwtAuthenticationFilter","Controller/unit/security tests exist but no real DB register -> login -> player-link integration; stale permitted /api/v1/users/register path"
Player,"Current Player creation and token reissue",INTEGRATION_GAP,"PlayerFacade.linkStart; PlayerService.linkStart; PlayerFacadeTest","users.user_id/player.user_id uniqueness and CurrentUserAccessor","Player, token, and 11 equipment rows span separate transactions; no Inventory/Mailbox provisioning; no DB closed-loop onboarding test"
Growth identity,"Player overview, EXP provenance and recent bounded history",COMPLETE_VERIFIED,"GrowthQueryService; GrowthQueryIntegrationTest#isolatesPlayerAndBoundsStableOrdering/#composesProvenanceWithinThreeQueries","CurrentPlayerAccessor; player_growth_changes reward-line unique","Production deployment data remains external but repository runtime semantics are proven"
Role/Person,"owner-scoped CRUD and archive",COMPLETE_VERIFIED,"RoleService; PersonService; RolePersonPersistenceIntegrationTest","V19 owner composite uniqueness/FKs; @Version; CurrentPlayerAccessor","No global cleanup inferred"
RoleRelation,"owner-scoped relation lifecycle",COMPLETE_VERIFIED,"RoleRelationService; RoleRelationPersistenceIntegrationTest","V19 uq_role_relation_role_person and cross-owner composite FK; locks/version","RoleRelation remains distinct from service-user friendship"
RoleEvent,"event lifecycle, participants, explicit LifeLog link",COMPLETE_VERIFIED,"RoleEventService; RoleEventLifeLogIntegrationTest","V21 ownership FKs and participant uniqueness; caller transaction","Create/complete never auto-creates LifeLog"
LifeLog/Journal,"canonical mixed-source journal",COMPLETE_VERIFIED,"LifeLogJournalQueryService; LifeLogJournalQueryIntegrationTest","V15 source_type/source_id unique and Current Player query boundary","Legacy null metadata is intentionally not inferred"
Quick Record,"idempotent subtype creation -> canonical LifeLogRecord -> LifeLogRecorded",COMPLETE_VERIFIED,"QuickRecordService; QuickRecordServiceIntegrationTest; LifeLogRecordedOutboxIntegrationTest","V9 player/key receipt; V15 canonical header; V8 outbox in same transaction","No duplicate source/event under sequential or concurrent replay"
Quest,"LifeLog/manual signal progress and completion",COMPLETE_VERIFIED,"LifeLogRecordedQuestTrigger; QuestManualCheckService; LifeLogRecordedQuestProgressIntegrationTest; QuestCompletionRewardTransactionalOutboxIntegrationTest","V7 durable signal receipt; QuestAcceptance lock/version; V8 outbox","Public accept/cancel idempotency fields are not implemented"
QuestRoute,"selection/read/explicit expectedStepId advance",COMPLETE_VERIFIED,"QuestRouteSelectService; QuestRouteAdvanceService; QuestRouteApplicationIntegrationTest","V20 unique player/route; pessimistic lock; expected current step","No global active route and no completion-driven auto advance"
Reward/EXP,"Quest RewardSettlement and exact-once EXP grant",COMPLETE_VERIFIED,"QuestCompletionRewardService; PlayerRewardExpGrantService; QuestCompletionRewardTransactionalOutboxIntegrationTest","V3 settlement source unique; V4 reward_line unique; Player lock","Representative P0 profiles only; bulk content is external"
Inventory/Mailbox,"Reward ITEM delivery and Mailbox claim",COMPLETE_VERIFIED,"InventoryRewardDeliveryService; InventoryRewardDeliveryIntegrationTest; MailboxClaimIntegrationTest","V17 reward-line unique; container locks; preflight and one transaction","Generic new-player containers are lazy-created only by reward delivery"
Gear,"equipment slot read/equip/unequip",DB_NOT_SEEDED,"PlayerEquipmentService; InventoryEquipmentReadApi; PlayerEquipmentConcurrencyIntegrationTest","player/slot and player/item unique constraints; pessimistic equipment lock","equipment_slots and equippable Item definitions have no Flyway seed; PlayerFacade assumes IDs 1..11"
Achievement,"owned reads and Admin grant foundation",CONTENT_NOT_DELIVERED,"PlayerAchievementService; AchievementProgressReadIntegrationTest; AdminPlayerHolderGrantIntegrationTest","V1 player/achievement unique","No gameplay unlock source, no seeded definitions, no Achievement Notification source"
Certification,"definition/holder CRUD foundation",DB_NOT_SEEDED,"CertificationController; PlayerCertificationController; V1 certification/player_certifications","V1 player/certification unique","No catalog/seed/activation authority"
Hobby,"definition/holder lifecycle foundation",DB_NOT_SEEDED,"HobbyController; PlayerHobbyController; PlayerHobbyUpdaterTest","V1 player/hobby unique","No catalog/seed/activation authority"
Title,"definition/holder reads and representative title selection",DB_NOT_SEEDED,"TitleController; PlayerTitleController; PlayerRepresentativeTitleTest","V1 player/title unique; ownership verifier","No catalog/seed/activation authority"
Connections,"Current Player following/follower projections",COMPLETE_VERIFIED,"ConnectionQueryService; ConnectionQueryIntegrationTest","CurrentPlayerAccessor; active Follow state; V1 pair uniqueness","Legacy /follows APIs coexist with canonical /connections reads"
Direct Chat,"friend channel query/open/message",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"ChatService; FriendChatQueryService; FriendChatQueryIntegrationTest; ChatServiceCurrentPlayerTest","mutual active Follow verification; channel participant membership; DB message","No full DB+Redis mutual-follow -> open -> send -> receive proof; Redis publish is synchronous in write transaction"
Notification,"durable append, inbox, unread, mark-one, mark-all",COMPLETE_VERIFIED,"NotificationAppender; NotificationQueryService; NotificationReadMarker; NotificationApplicationIntegrationTest","V25 unique(player_id,source_event_id); CurrentPlayerAccessor","Delete/clear/realtime/preferences intentionally absent"
Notification,"QUEST_COMPLETED source adapter",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"QuestCompletionNotificationHandler; QuestCompletionNotificationHandlerTest","OutboxEventDelivery.eventId -> V25 source uniqueness","Handler mapping and persistence are separately proven, not one actual Quest relay integration"
Notification,"QUEST_REWARD_READY source adapter",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"QuestRewardReadyNotificationHandler at PR #320; QuestRewardReadyNotificationHandlerTest","typed QuestRewardReadyFact and OutboxEventDelivery.eventId","Handler mapping and persistence are separately proven, not one actual reward-ready relay integration"
