domain,controller,operation,http_method,path,request_type,response_type,classification,frontend_exposure,notes
character,AdminAchievementController,create,POST,/admin/v1/achievements,AdminAchievementRequest.Create,AdminAchievementResponse.Info,SUPPORTED_COMMAND,ALLOW,AchievementService
character,AdminAchievementController,list,GET,/admin/v1/achievements,query category[],AdminAchievementResponse.Infos,SUPPORTED_READ,ALLOW,AchievementService
character,AdminAchievementController,get,GET,/admin/v1/achievements/{achievementId},-,AdminAchievementResponse.Info,SUPPORTED_READ,ALLOW,AchievementService
character,AdminAchievementController,update,PATCH,/admin/v1/achievements/{achievementId},AdminAchievementRequest.Update,AdminAchievementResponse.Info,SUPPORTED_COMMAND,ALLOW,AchievementService
character,AdminAchievementController,delete,DELETE,/admin/v1/achievements/{achievementId},-,AdminAchievementResponse.Deleted,SUPPORTED_COMMAND,ALLOW,AchievementService
character,AdminCertificationController,create,POST,/admin/v1/certifications,AdminCertificationRequest.Create,AdminCertificationResponse.Info,SUPPORTED_COMMAND,ALLOW,CertificationService
character,AdminCertificationController,list,GET,/admin/v1/certifications,query category[],AdminCertificationResponse.Infos,SUPPORTED_READ,ALLOW,CertificationService
character,AdminCertificationController,get,GET,/admin/v1/certifications/{certificationId},-,AdminCertificationResponse.Info,SUPPORTED_READ,ALLOW,CertificationService
character,AdminCertificationController,update,PATCH,/admin/v1/certifications/{certificationId},AdminCertificationRequest.Update,AdminCertificationResponse.Info,SUPPORTED_COMMAND,ALLOW,CertificationService
character,AdminCertificationController,delete,DELETE,/admin/v1/certifications/{certificationId},-,AdminCertificationResponse.Deleted,SUPPORTED_COMMAND,ALLOW,CertificationService
character,AdminHobbyController,create,POST,/admin/v1/hobbies,AdminHobbyRequest.Create,AdminHobbyResponse.Info,SUPPORTED_COMMAND,ALLOW,HobbyService
character,AdminHobbyController,list,GET,/admin/v1/hobbies,query category[],AdminHobbyResponse.Infos,SUPPORTED_READ,ALLOW,HobbyService
character,AdminHobbyController,get,GET,/admin/v1/hobbies/{hobbyId},-,AdminHobbyResponse.Info,SUPPORTED_READ,ALLOW,HobbyService
character,AdminHobbyController,update,PATCH,/admin/v1/hobbies/{hobbyId},AdminHobbyRequest.Update,AdminHobbyResponse.Info,SUPPORTED_COMMAND,ALLOW,HobbyService
character,AdminHobbyController,delete,DELETE,/admin/v1/hobbies/{hobbyId},-,AdminHobbyResponse.Deleted,SUPPORTED_COMMAND,ALLOW,HobbyService
character,AdminPlayerAchievementController,grantAchievement,POST,/admin/v1/players/{playerId}/achievements/{achievementId},-,AdminPlayerAchievementResponse.Granted,SUPPORTED_COMMAND,ALLOW,PlayerAchievementService
character,AdminPlayerAchievementController,revokeAchievement,DELETE,/admin/v1/players/{playerId}/achievements/{achievementId},-,AdminPlayerAchievementResponse.Revoked,SUPPORTED_COMMAND,ALLOW,PlayerAchievementService
character,AdminPlayerCertificationController,grantCertification,POST,/admin/v1/players/{playerId}/certifications/{certificationId},AdminPlayerCertificationRequest.Create,AdminPlayerCertificationResponse.Granted,SUPPORTED_COMMAND,ALLOW,PlayerCertificationService
character,AdminPlayerCertificationController,revokeCertification,DELETE,/admin/v1/players/{playerId}/certifications/{certificationId},-,AdminPlayerCertificationResponse.Revoked,SUPPORTED_COMMAND,ALLOW,PlayerCertificationService
character,AdminPlayerController,grantExp,POST,/admin/v1/players/{playerId}/exp/grant,AdminPlayerRequest.GrantExp,AdminPlayerResponse.ExpGranted,SUPPORTED_COMMAND,ALLOW,PlayerService
character,AdminPlayerController,setCurrentHp,PATCH,/admin/v1/players/{playerId}/health/current,AdminPlayerRequest.ChangeHp,AdminPlayerResponse.CurrentHp,SUPPORTED_COMMAND,ALLOW,PlayerService
character,AdminPlayerController,setHpCapacity,PATCH,/admin/v1/players/{playerId}/health/capacity,AdminPlayerRequest.ChangeHpCapacity,AdminPlayerResponse.HpCapacity,SUPPORTED_COMMAND,ALLOW,PlayerService
character,AdminPlayerController,setCurrentMp,PATCH,/admin/v1/players/{playerId}/mana/current,AdminPlayerRequest.ChangeMp,AdminPlayerResponse.CurrentMp,SUPPORTED_COMMAND,ALLOW,PlayerService
character,AdminPlayerController,setMpCapacity,PATCH,/admin/v1/players/{playerId}/mana/capacity,AdminPlayerRequest.ChangeMpCapacity,AdminPlayerResponse.MpCapacity,SUPPORTED_COMMAND,ALLOW,PlayerService
character,AdminPlayerController,grantCoreStats,POST,/admin/v1/players/{playerId}/core-stats/grant,AdminPlayerRequest.GrantCoreStats,AdminPlayerResponse.CoreStatsGranted,SUPPORTED_COMMAND,ALLOW,PlayerService
character,AdminPlayerController,grantStatusEffects,POST,/admin/v1/players/{playerId}/status-effects/grant,AdminPlayerRequest.GrantStatusEffects,AdminPlayerResponse.StatusEffectsGranted,SUPPORTED_COMMAND,ALLOW,PlayerService
character,AdminPlayerController,rename,PATCH,/admin/v1/players/{playerId}/rename,AdminPlayerRequest.Rename,AdminPlayerResponse.Renamed,SUPPORTED_COMMAND,ALLOW,PlayerService
character,AdminPlayerController,updateTitle,PATCH,/admin/v1/players/{playerId}/titles/{titleId},-,AdminPlayerResponse.UpdatedTitle,SUPPORTED_COMMAND,ALLOW,PlayerService
character,AdminPlayerController,get,GET,/admin/v1/players/{playerId},-,AdminPlayerResponse.PlayerInfo,SUPPORTED_READ,ALLOW,PlayerQueryService
character,AdminPlayerController,getPlayerSummary,GET,/admin/v1/players,query userId,AdminPlayerResponse.PlayerSummary,SUPPORTED_READ,ALLOW,PlayerQueryService
character,AdminPlayerHobbyController,grantHobby,POST,/admin/v1/players/{playerId}/hobbies/{hobbyId},AdminPlayerHobbyRequest.Grant,AdminPlayerHobbyResponse.Granted,SUPPORTED_COMMAND,ALLOW,PlayerHobbyService
character,AdminPlayerHobbyController,revokeHobby,DELETE,/admin/v1/players/{playerId}/hobbies/{hobbyId},-,AdminPlayerHobbyResponse.Revoked,SUPPORTED_COMMAND,ALLOW,PlayerHobbyService
character,AdminPlayerTitleController,grantTitle,POST,/admin/v1/players/{playerId}/titles/{titleId},-,AdminPlayerTitleResponse.Granted,SUPPORTED_COMMAND,ALLOW,PlayerTitleService
character,AdminPlayerTitleController,revokeTitle,DELETE,/admin/v1/players/{playerId}/titles/{titleId},-,AdminPlayerTitleResponse.Revoked,SUPPORTED_COMMAND,ALLOW,PlayerTitleService
character,AdminTitleController,create,POST,/admin/v1/titles,AdminTitleRequest.Create,AdminTitleResponse.Info,SUPPORTED_COMMAND,ALLOW,TitleService
character,AdminTitleController,list,GET,/admin/v1/titles,query category[],AdminTitleResponse.Infos,SUPPORTED_READ,ALLOW,TitleService
character,AdminTitleController,get,GET,/admin/v1/titles/{titleId},-,AdminTitleResponse.Info,SUPPORTED_READ,ALLOW,TitleService
