domain,use_case,method,path,request_authority,response_authority,implemented,security_ownership,runtime_dependency,consumer_risk,verdict,evidence
Auth,register,POST,/api/v1/auth/register,"public body credentials","ApiResponse<RegisterResult>",yes,public,"UserAuthApi + BCrypt + JWT","No real DB registration flow proof",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"AuthController#register; AuthFacade#register; AuthControllerTest"
Auth,login,POST,/api/v1/auth/login,"public body credentials","ApiResponse<TokenPair>",yes,public,"persisted ACTIVE User + JWT","playerId is nullable before Player link",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"AuthController#login; AuthFacade#login; UserAuthServiceTest"
Auth,refresh,POST,/api/v1/auth/refresh,"refresh token body","ApiResponse<TokenPair>",yes,"persisted account re-resolved","JWT secret and current Player lookup","revocation semantics tested outside real DB auth flow",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"AuthFacade#refresh; JwtAuthenticationFilter; AdminAuthorizationContractTest"
User,availability,GET,/api/v1/users/availability/{email|nickname},public query,"ApiResponse<Availability>",yes,public,MySQL unique-backed lookup,"Email path/query shape must be consumed exactly",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"UserController; SecurityConfig; UserServiceTest"
User,profile/settings,GET/PATCH,/api/v1/users/me[/settings],"Current User","ApiResponse user-owned DTO",yes,"CurrentUserAccessor",MySQL,"No caller userId accepted",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"UserController; UserSettingController; UserServiceTest"
User,account mutation,PATCH/DELETE,/api/v1/users/me/{nickname|password}|/api/v1/users/me,"Current User and body","ApiResponse/no-content",yes,"CurrentUserAccessor",MySQL,"No persistence integration test",IMPLEMENTED_NOT_RUNTIME_VERIFIED,"UserController; UserService"
User,legacy register route,POST,/api/v1/users/register,public,none,no,"Security matcher only",none,"Permitted path has no controller",CONTRACT_DRIFT,"SecurityConfig#security; AuthController maps /api/v1/auth/register"
Player,create player,POST,/api/v1/players/register,"Current User + name/gender","ApiResponse<CreatedWithToken>",yes,"CurrentUserAccessor",MySQL/JWT,"Non-atomic Player/token/equipment orchestration; no containers",INTEGRATION_GAP,"PlayerController#register; PlayerFacade#linkStart; PlayerFacadeTest"
Player,current profile/growth,GET,/api/v1/players|/api/v1/players/growth,"Current Player","ApiResponse<Info|Growth>",yes,"CurrentPlayerAccessor",MySQL,"Growth runtime proven; base profile only unit-covered",COMPLETE_VERIFIED,"PlayerController; GrowthQueryIntegrationTest"
Player,representative title,PATCH,/api/v1/players/titles/{titleId},"Current Player + path definition","ApiResponse<UpdatedTitle>",yes,"CurrentPlayerAccessor + ownership verifier",MySQL,"Title catalog is unseeded",DB_NOT_SEEDED,"PlayerService#changeRepresentativeTitle; PlayerRepresentativeTitleTest"
