area,verdict,evidence_kind,path,symbol_or_scenario,proves,does_not_prove
baseline,COMPLETE_VERIFIED,git,HEAD,"ad6de2b merge: connect Quest reward-ready production notifications (#320)","PR #320 code is in current/develop/origin-develop HEAD","deployed production revision"
baseline,COMPLETE_VERIFIED,migration,src/main/resources/db/migration/V31__admin_audit_idempotency_uniqueness.sql,"latest migration number","append-only history reaches V31","production application"
Auth,IMPLEMENTED_NOT_RUNTIME_VERIFIED,production,src/main/java/online/lifeasgame/auth/application/AuthFacade.java,"register/login/refresh","provider-owned User/Player lookup and nullable pre-link playerId","real DB lifecycle"
Auth,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/system/bootstrap/security/AdminAuthorizationContractTest.java,"downgradeAndRevocationOnNextRequest","persisted authority is re-resolved per request","general registration persistence"
Player,INTEGRATION_GAP,production,src/main/java/online/lifeasgame/character/application/PlayerFacade.java,"linkStart","separate create/token/equipment order","atomic onboarding"
Player,INTEGRATION_GAP,test,src/test/java/online/lifeasgame/character/application/PlayerFacadeTest.java,"onboardingKeepsCreateTokenAndEquipmentOrchestrationOrder","mocked call order","DB rollback/container/equipment content"
Role/Person,COMPLETE_VERIFIED,migration,src/main/resources/db/migration/V19__role_person_persistence_foundation.sql,"roles/persons/role_relations constraints","owner composite keys and relation integrity","deployed rows"
Role/Person,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/role/application/RolePersonPersistenceIntegrationTest.java,"owner CRUD/stale/rollback scenarios","MySQL ownership/version/transaction behavior","production traffic"
RoleRelation,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/role/application/RoleRelationPersistenceIntegrationTest.java,"duplicate/reactivation/cross-owner/rollback","DB relation invariants","external Person content"
RoleEvent,COMPLETE_VERIFIED,migration,src/main/resources/db/migration/V21__role_event_lifelog_linkage.sql,"role_events and participants","explicit ownership/link schema","auto LifeLog behavior alone"
RoleEvent,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/role/application/RoleEventLifeLogIntegrationTest.java,"neverCreatesLifeLog/persistsDerivedRoleContext","no auto LifeLog and atomic explicit link","deployed data"
LifeLog,COMPLETE_VERIFIED,production,src/main/java/online/lifeasgame/lifelog/application/LifeLogRecordRegistrar.java,"register canonical record","single canonical write boundary","source CRUD alone"
LifeLog,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/lifelog/application/LifeLogJournalQueryIntegrationTest.java,"mixed projection/ownership/query bound","real MySQL journal semantics","frontend rendering"
QuickRecord,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/lifelog/quick/application/QuickRecordServiceIntegrationTest.java,"dispatch/replay/conflict/concurrency/rollback","full DB command invariants","production scheduler"
Outbox,COMPLETE_VERIFIED,migration,src/main/resources/db/migration/V8__transactional_outbox.sql,"outbox_events unique event_id","durable event storage","worker health"
Outbox,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/platform/outbox/application/TransactionalOutboxIntegrationTest.java,"commit/rollback/retry/SKIP LOCKED/lease","MySQL relay semantics","deployed queue health"
Quest,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/quest/application/automation/LifeLogRecordedQuestProgressIntegrationTest.java,"time boundary/replay/concurrency/weekly","actual DB signal processing","all catalog content"
QuestReward,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/reward/application/QuestCompletionRewardTransactionalOutboxIntegrationTest.java,"actual LifeLog/manual -> completion -> reward","representative end-to-end DB loops","production process health"
QuestRoute,COMPLETE_VERIFIED,migration,src/main/resources/db/migration/V20__quest_route_mvp.sql,"route/step/link/player route","stable representative route structure","final route inventory"
QuestRoute,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/quest/application/QuestRouteApplicationIntegrationTest.java,"no auto advance/expected step/concurrency","locked explicit progression","content authority"
Reward,COMPLETE_VERIFIED,migration,src/main/resources/db/migration/V2__reward_definition_foundation.sql,"reward definitions/profiles/lines","active typed reward schema and EXP seed","final catalog"
Reward,COMPLETE_VERIFIED,migration,src/main/resources/db/migration/V13__first_step_reward_profile_seed.sql,"P0 EXP+ITEM profiles","stable P0 references","bulk rewards"
Inventory,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/inventory/application/InventoryRewardDeliveryIntegrationTest.java,"replay/concurrency/full/rollback","provider delivery and receipt","generic mail notification"
Mailbox,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/inventory/application/MailboxClaimIntegrationTest.java,"single/all/preflight rollback","two-aggregate claim transaction","new-player container provisioning"
Gear,DB_NOT_SEEDED,migration,src/main/resources/db/migration/V1__baseline_current_schema.sql,"equipment_slots/player_equipment create only","schema exists","runtime slot rows"
Growth,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/character/application/GrowthQueryIntegrationTest.java,"bounded history/provenance","owned runtime query","bulk achievement content"
Achievement,CONTENT_NOT_DELIVERED,test,src/test/java/online/lifeasgame/character/application/AchievementProgressReadIntegrationTest.java,"owned synthetic holder query","read ownership/query bound","definitions or automatic unlock"
Connections,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/social/application/ConnectionQueryIntegrationTest.java,"outbound/inbound/missing peer","Current Player connection read","chat creation"
DirectChat,IMPLEMENTED_NOT_RUNTIME_VERIFIED,production,src/main/java/online/lifeasgame/social/application/ChatService.java,"openFriend/sendMessage","mutual follow and membership orchestration","DB+Redis closed loop"
DirectChat,IMPLEMENTED_NOT_RUNTIME_VERIFIED,test,src/test/java/online/lifeasgame/social/application/FriendChatQueryIntegrationTest.java,"friend projection scenarios","real DB read semantics","message/realtime delivery"
DirectChat,IMPLEMENTED_NOT_RUNTIME_VERIFIED,test,src/test/java/online/lifeasgame/system/bootstrap/security/ChatWebSocketOriginContractTest.java,"JWT/origin /ws handshake","handshake boundary","STOMP message identity or Redis cross-instance delivery"
Notification,COMPLETE_VERIFIED,migration,src/main/resources/db/migration/V25__player_notification_inbox.sql,"uq_player_notification_source","durable per-player source uniqueness","source adapters"
Notification,COMPLETE_VERIFIED,test,src/test/java/online/lifeasgame/notification/application/NotificationApplicationIntegrationTest.java,"append/replay/inbox/read","provider persistence/read semantics","actual Quest source loop"
Notification,IMPLEMENTED_NOT_RUNTIME_VERIFIED,production,src/main/java/online/lifeasgame/notification/application/event/QuestCompletionNotificationHandler.java,"onOutboxEvent","typed completion mapping with canonical eventId","combined DB integration"
Notification,IMPLEMENTED_NOT_RUNTIME_VERIFIED,production,src/main/java/online/lifeasgame/notification/application/event/QuestRewardReadyNotificationHandler.java,"onOutboxEvent","PR #320 typed reward-ready mapping","combined DB integration"
Economy,COMPLETE_VERIFIED,migration,src/main/resources/db/migration/V27__canonical_listing_reservations.sql,"listing_reservations and legacy recovery","canonical active reservation authority","purchase fulfillment"
Economy,COMPLETE_VERIFIED,migration,src/main/resources/db/migration/V28__canonical_trade_item_snapshot.sql,"item_id/sale_quantity snapshots","Trade meaning after source removal","request replay"
Economy,REGRESSION_RISK,test,src/test/java/online/lifeasgame/economy/application/MarketplaceTradeFulfillmentIntegrationTest.java,"commit/rollback","atomic DB business effect","idempotency because IdempotencyKeyStore is mocked"
Economy,REGRESSION_RISK,production,src/main/java/online/lifeasgame/platform/idempotency/RedisIdempotencyKeyStore.java,"acquire","TTL duplicate hint","durable exactly-once correctness"
EconomyShop,INTEGRATION_GAP,production,src/main/java/online/lifeasgame/economy/application/saga/EconomySagaCoordinator.java,"FULFILLMENT_READY chaining","a completion-stage event is emitted","Item delivery"
Content,BLOCKED_BY_EXTERNAL_AUTHORITY,production,src/main/java/online/lifeasgame/quest/domain/seed/SeedLevel1QuestDefinition.java,"status/copy/icon metadata","five internally validated P0 definitions","runtime persistence/activation authority"
Content,BLOCKED_BY_EXTERNAL_AUTHORITY,production,src/main/java/online/lifeasgame/quest/application/bootstrap/QuestDefinitionBootstrapper.java,"default-enabled all-catalog ensure","missing rows materialize","external release approval or active filtering"
Runtime,REGRESSION_RISK,config,src/main/resources/application-prod.yml,"spring.flyway.enabled=${FLYWAY_ENABLED:false}","prod validates schema and can enable Flyway","V31 applied in deployment"
Runtime,IMPLEMENTED_NOT_RUNTIME_VERIFIED,config,src/main/resources/application.yml,"app.outbox.enabled=${OUTBOX_ENABLED:true}","default scheduler intent","effective deployed value/health"
PublicAPI,CONTRACT_DRIFT,production,src/main/java/online/lifeasgame/quest/api/player/mapper/QuestWebMapper.java,"Accept/Cancel mapping","party/guild and reason mapping","DTO idempotencyKey use"
PublicAPI,CONTRACT_DRIFT,production,src/main/java/online/lifeasgame/inventory/api/player/mapper/InventoryWebMapper.java,"mutation/detail mapping","slot commands","DTO idempotency/filter semantics"
